species,n_microcins,clade,assemblies,percent_microcin
Citrobacter amalonaticus,5,Escherichia,64,0
Citrobacter braakii,6,Escherichia,126,0
Citrobacter koseri,2,Escherichia,109,0
Citrobacter werkmanii,3,Escherichia,65,0
Citrobacter youngae,2,Escherichia,40,0
Cronobacter dublinensis,3,Cronobacter,42,0
Cronobacter malonaticus,3,Cronobacter,62,0
Cronobacter muytjensii,1,Cronobacter,8,0
Enterobacter asburiae,6,Enterobacter,107,0
Enterobacter cancerogenus,15,Enterobacter,16,1
Enterobacter cloacae,12,Enterobacter,244,0
Enterobacter hormaechei,517,Enterobacter,984,1
Enterobacter kobei,1,Enterobacter,141,0
Enterobacter ludwigii,20,Enterobacter,86,0
Escherichia albertii,2,Escherichia,107,0
Escherichia coli,156,Escherichia,939,0
Escherichia fergusonii,4,Escherichia,77,0
Escherichia marmotae,2,Escherichia,82,0
Klebsiella aerogenes,340,Klebsiella,340,1
Klebsiella electrica,2,Klebsiella,2,1
Klebsiella michiganensis,6,Klebsiella,274,0
Raoultella ornithinolytica,19,Klebsiella,92,0
Klebsiella oxytoca,87,Klebsiella,173,1
Raoultella planticola,16,Klebsiella,44,0
Klebsiella pneumoniae,980,Klebsiella,982,1
Klebsiella quasipneumoniae,622,Klebsiella,626,1
Klebsiella terrigena,1,Klebsiella,2,1
Klebsiella variicola,520,Klebsiella,521,1
Kosakonia oryzae,3,Kosakonia,3,1
Kosakonia radicincitans,13,Kosakonia,13,1
Kosakonia sacchari,2,Kosakonia,7,0
Leclercia adecarboxylata,18,Enterobacter,96,0
Pluralibacter gergoviae,21,Klebsiella,22,1
Salmonella enterica,39,Escherichia,915,0
Atlantibacter hermannii,0,Cronobacter,29,0
Cronobacter condimenti,0,Cronobacter,3,0
Cronobacter sakazakii,0,Cronobacter,437,0
Cronobacter universalis,0,Cronobacter,4,0
Enterobacter mori,0,Enterobacter,23,0
Kosakonia cowanii,0,Kosakonia,18,0
Lelliottia amnigena,0,Enterobacter,16,0
Lelliottia nimipressuralis,0,Enterobacter,9,0
Salmonella bongori,0,Escherichia,32,0
