seq1,seq2,distance
12878,41237,4.6101
9028,47034,4.2968
3294,34302,5.9301
2881,16059-4,8.1605
5539,59429,2.9235
4407,20317,2.5947
10931,35572,3.3696
3474,84003,4.6544
1151,66613,4.3323
2929,3595,3.2977
6656-1,83483,8.3381
3500,66207,4.7852
7470,52246,7.4314
2102,54879,4.0868
3368,21893,6.1843
10562,57799,5.5285
4381,44877,4.9219
6923,65873,8.122
9903,85471,3.956
4385,49770,3.1513
12130-5,32332,6.3615
3729,58706,4.8697
1579,11025,6.2079
12597,40385,4.0289
11215,21466,4.2047
8483,30893,3.4765
5842,14066-9,7.407
12955,30553,8.2617
5019,38046,5.9369
5655,82750,7.6543
10263,83774,7.054
1406,4643,2.8735
9467,71745,4.4426
2935-11,27929-4,4.5069
4135-11,61228,8.1351
5355,41102,3.5681
377,50179,5.1745
10351,22896,4.7073
3810,75021,6.5805
5433-1,37563-1,8.2813
1397-2,50227,7.4234
89,13009,7.4749
7861,79001-6,8.4971
9630,21358,7.1472
13551,40623,3.5882
11923,34383,7.0493
6419-4,21756,9.3244
8159-13,86283,8.284
9754,25652-10,9.9944
1173,49545,8.7102
10624,72401,3.3415
10225,38815,4.1908
2190,29913,6.5719
7051,61942,3.5337
11924,70846,8.0445
866,65178,5.1853
580,43710,2.121
9614,65308,6.9185
9559,28154,3.7941
3448,56926,4.8924
9184,21645,5.2702
9165,87331,3.4179
2120,25731-5,7.3097
10943,53930-1,6.7366
10042,28070,4.8331
7765-6,64991,7.5673
8278,91913,6.2694
7699,46906,7.0957
4088,48842-3,5.1374
14158,84571,4.1375
4619-1,15758,8.9202
1239,77152,3.3307
2585,21586,7.394
4495,79865,5.518
59,70535-4,7.1165
13915,76063,3.0723
546,65323,4.2151
3918,61540,3.0844
2861,53743,5.0583
7706,7832,2.9078
13569,46001,3.5076
11476,16254,4.7747
11324,91362,2.6262
2032,81966,2.4108
7371,58656,5.1379
1750,19913,2.4858
5887,16223,4.8095
9318,22065,3.4931
3521,91198,6.5302
10540,83299,2.4088
6291,29885,2.9542
7371,20507,3.5945
6961,65730,5.919
14073,57894,6.5401
1916,23007,7.3093
10461,34836,2.8328
6533,27259,5.8236
5532,56830,4.6705
7842,24771,2.3563
9457,15112,3.2198
7159,28817,2.9633
7775,91331,2.6736
11909,73245,3.0665
5078,63948,5.1252
9014,42471,2.2189
4756,62071,3.499
10577,72563,3.0382
12990,58573,6.1162
13218,59981,1.6763
1603,79715,2.5234
3815,66788,5.776
12699,76888,2.6596
10271,55220,4.3581
10379,14473,4.5677
2575,43437,3.9467
8514,15482,4.4507
4186,47715,4.6823
5081,52550,3.1315
293-3,59795,1.8332
5947,20837,2.8865
10795,23694,4.856
2973,27372,2.6187
9927,43892,3.6594
6343,33769,2.1084
4836,13707,3.6723
9409,69523,2.4937
5548-6,28353-5,1.1448
13588,51477,1.8318
6221,36481,2.7516
6221,17731,2.493
6221,51456,1.8255
6221,61877,2.1118
4445-17,23764-22,7.9286
3684,17642,3.3928
13588,53180,2.4209
13968-3,66838,3.4976
3024-1,43848-2,2.008
12114,59227,1.697
13619,38860,4.7111
5579-9,59450-5,0.9448
5548-6,53370-7,1.5545
220-13,25664-16,1.1144
13641-3,22806-1,1.3012
6221,74546,2.6813
6111-8,19795-8,0.9784
8319-7,69540-13,1.8143
4235,83561,3.0733
9774,29567,2.8958
4235,59720,3.9739
6,83153,1.9999
9774,45723,3.5777
521,75127,1.0094
8562,9787,3.263
3300,81739,1.1681
5,83153,1.3816
1921,38396,1.7398
14070,35701,1.2363
13317,14588,1.5441
13317,22993,1.6843
4445-17,4447-24,1.8339
4228-3,20356-4,0.9191
1935,48708,2.125
4784,18747,1.1154
3300,51599,1.2091
13619,29770,4.3519
11358-33,47773-32,1.3422
13619,76856,4.1753
12116-7,59257-10,1.2311
5579-9,70079-6,1.7832
3958-6,39775-7,1.5212
8397-5,14922-6,1.0596
4235,58111,4.0968
219-15,19514-13,1.1399
8319-7,76260-3,1.213
4136-15,67057-13,1.1528
