seq1,seq2,distance
6938-9,23133-6,5.1428
7863,88784-2,8.4022
5220,52983,3.8233
774,87191,6.4669
7275,58040,3.6002
6883,63507,8.8311
4729,51918,3.3784
4075,86987-3,8.4997
5580,81540,3.2369
7845,63967,3.7132
2724,68041,6.2887
6734-4,85271,5.1919
5255,55786,6.246
3364,21261,3.6801
4235,76248,4.2687
5081,48444,3.0596
3521,15677,6.8683
2671,19050,5.4686
4845,68681,2.7761
2973,88462,3.0272
89,40812,6.3923
1476,2864,0.992
4136-15,67057-13,1.1528
3300,81739,1.1681
1935,48708,2.125
3300,51599,1.2091
5579-9,70079-6,1.7832
521,75127,1.0094
6421-11,50030-12,0.7381
1269-12,73801-10,0.6371
5785-1,24469-1,0.4623
3300,44720,0.7656
5585,83356,0.3634
6421-11,41597-12,0.8145
1473,83190,0.0
