"seq1","seq2","percent_sim","sim_group","sim_group2"
"277","39404",9.375,"(0-20]","(0-10]"
"8911","75815",9.80392156862745,"(0-20]","(0-10]"
"3341","78017-7",10,"(0-20]","(0-10]"
"4381","51295",8.82352941176471,"(0-20]","(0-10]"
"9824","78010-9",9.75609756097561,"(0-20]","(0-10]"
"3756","5553",9.375,"(0-20]","(0-10]"
"2011","38714",9.09090909090909,"(0-20]","(0-10]"
"10144","80238",9.67741935483871,"(0-20]","(0-10]"
"12796","44410",9.75609756097561,"(0-20]","(0-10]"
"13260","85316",9.375,"(0-20]","(0-10]"
"2156","74472",9.09090909090909,"(0-20]","(0-10]"
"6609","74519",8.33333333333333,"(0-20]","(0-10]"
"6616","37911",8.69565217391304,"(0-20]","(0-10]"
"2240","11544",9.75609756097561,"(0-20]","(0-10]"
"12028","89172",10,"(0-20]","(0-10]"
"10378","50922",9.375,"(0-20]","(0-10]"
"9085","81948",8.88888888888889,"(0-20]","(0-10]"
"9445","64501",9.09090909090909,"(0-20]","(0-10]"
"3341","56575-10",9.39597315436242,"(0-20]","(0-10]"
"8924","58099",9.75609756097561,"(0-20]","(0-10]"
"2979","90996",9.75609756097561,"(0-20]","(0-10]"
"3027","48611",10,"(0-20]","(0-10]"
"4477","12391",9.90990990990991,"(0-20]","(0-10]"
"9294-1","39259",10,"(0-20]","(0-10]"
"11476","28841",8.33333333333333,"(0-20]","(0-10]"
"11594","46178",17.0212765957447,"(0-20]","(10-20]"
"10004","69004",15.7894736842105,"(0-20]","(10-20]"
"12823","81614",15.2173913043478,"(0-20]","(10-20]"
"5011","41168",19.4444444444444,"(0-20]","(10-20]"
"9105","58860",17.0731707317073,"(0-20]","(10-20]"
"5233","91527",18.5185185185185,"(0-20]","(10-20]"
"7160","78880-14",13.1034482758621,"(0-20]","(10-20]"
"3341","69546",16.6666666666667,"(0-20]","(10-20]"
"4748","91131",19.0839694656489,"(0-20]","(10-20]"
"7005","48075-4",18.1818181818182,"(0-20]","(10-20]"
"740","53002",20,"(0-20]","(10-20]"
"1747","55699",17.9487179487179,"(0-20]","(10-20]"
"820","19198",18.3098591549296,"(0-20]","(10-20]"
"958-3","6329",17.0731707317073,"(0-20]","(10-20]"
"490","2901",19.4444444444444,"(0-20]","(10-20]"
"12180","66381",20,"(0-20]","(10-20]"
"7332","67416",18.0555555555556,"(0-20]","(10-20]"
